
Host: LAPTOP-VQ1QITOU

Timers On : Sat Oct 29 05:19:48 2022
Timers Off: Sat Oct 29 05:19:48 2022

Wall Time:        0.52 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: LAPTOP-VQ1QITOU

Timers On : Sat Oct 29 05:29:24 2022
Timers Off: Sat Oct 29 05:29:24 2022

Wall Time:        0.54 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: LAPTOP-VQ1QITOU

Timers On : Thu Nov  3 05:00:57 2022
Timers Off: Thu Nov  3 05:02:00 2022

Wall Time:       63.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.467u      0.000s      0.267w      6 calls
Libint2ERI::Libint2ERI              :      1.117u      0.000s      0.669w     42 calls
DFH: initialize()                   :     17.633u      0.500s     10.945w      6 calls
DFH: AO Construction                :      7.450u      0.083s      4.565w     12 calls
DFH: AO-Met. Contraction            :      6.617u      0.283s      4.136w     12 calls
HF: Form core H                     :      0.183u      0.000s      0.201w      6 calls
HF: Form S/X                        :      0.067u      0.000s      0.043w      6 calls
HF: Guess                           :      0.117u      0.000s      0.065w      6 calls
SAD Guess                           :      0.100u      0.000s      0.063w      1 calls
HF: Form G                          :     27.367u      0.850s     17.683w    107 calls
JK: D                               :      0.017u      0.000s      0.010w    107 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w    107 calls
JK: JK                              :     27.333u      0.850s     17.656w    107 calls
DFH: compute_JK()                   :     27.333u      0.850s     17.653w    107 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    107 calls
DFH: compute_J                      :      3.500u      0.000s      3.092w    107 calls
DFH: compute_K                      :     22.933u      0.000s     13.765w    107 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w    107 calls
HF: Form F                          :      0.000u      0.000s      0.010w    107 calls
HF: Form D                          :      0.017u      0.000s      0.008w    107 calls
HF: DIIS                            :      0.783u      0.117s      0.538w    106 calls
HF: Form C                          :      0.617u      0.000s      0.380w    106 calls
Grad: V T Perturb                   :      0.400u      0.000s      0.235w      6 calls
Grad: S                             :      0.017u      0.000s      0.020w      6 calls
Grad: JK                            :     44.883u      1.467s     27.938w      6 calls
JKGrad: Amn                         :      9.450u      0.683s      6.071w      6 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      6 calls
JKGrad: AB                          :      4.667u      0.067s      2.858w      6 calls
JKGrad: UV                          :      1.017u      0.100s      0.681w      6 calls
JKGrad: ABx                         :      0.717u      0.000s      0.432w      6 calls
JKGrad: Amnx                        :     29.033u      0.600s     17.800w      6 calls
Grad: XC                            :      0.000u      0.000s      0.000w      6 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.467u      0.000s      0.267w      6 calls
| Libint2ERI::Libint2ERI            :      0.283u      0.000s      0.175w      6 calls
DFH: initialize()                   :     17.633u      0.500s     10.945w      6 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.000s      0.156w     12 calls
| DFH: AO Construction              :      7.450u      0.083s      4.565w     12 calls
| DFH: AO-Met. Contraction          :      6.617u      0.283s      4.136w     12 calls
HF: Form core H                     :      0.183u      0.000s      0.201w      6 calls
HF: Form S/X                        :      0.067u      0.000s      0.043w      6 calls
HF: Guess                           :      0.117u      0.000s      0.065w      6 calls
| SAD Guess                         :      0.100u      0.000s      0.063w      1 calls
HF: Form G                          :     27.367u      0.850s     17.683w    107 calls
| JK: D                             :      0.017u      0.000s      0.010w    107 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w    107 calls
| JK: JK                            :     27.333u      0.850s     17.656w    107 calls
| | DFH: compute_JK()               :     27.333u      0.850s     17.653w    107 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    107 calls
| | | DFH: compute_J                :      3.500u      0.000s      3.092w    107 calls
| | | DFH: compute_K                :     22.933u      0.000s     13.765w    107 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    107 calls
HF: Form F                          :      0.000u      0.000s      0.010w    107 calls
HF: Form D                          :      0.017u      0.000s      0.008w    107 calls
HF: DIIS                            :      0.783u      0.117s      0.538w    106 calls
HF: Form C                          :      0.617u      0.000s      0.380w    106 calls
Grad: V T Perturb                   :      0.400u      0.000s      0.235w      6 calls
Grad: S                             :      0.017u      0.000s      0.020w      6 calls
Grad: JK                            :     44.883u      1.467s     27.938w      6 calls
| JKGrad: Amn                       :      9.450u      0.683s      6.071w      6 calls
| | Libint2ERI::Libint2ERI          :      0.300u      0.000s      0.179w      6 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      6 calls
| JKGrad: AB                        :      4.667u      0.067s      2.858w      6 calls
